序号,code,name,eps,revenue,rev_yoy,营业总收入-季度环比增长,profit,profit_yoy,净利润-季度环比增长,bps,roe,ocf_ps,gross_margin,industry,ann_date,rev_yi,profit_yi,cash_ratio,小基数
1625,601628,中国人寿,4.76,434307000000.0,81.5399084582,265.5401,134489000000.0,228.6,489.5104,23.499133203609,21.07,10.0081018928,,保险Ⅱ,2026-08-28,4343.07,1344.89,2.1025424144537816,False
331,688825,长鑫科技,1.2893,150310076758.0,873.6417332025,95.8851,77605227520.0,3427.7569143657,113.4041,2.238170510872,81.06,2.178926243106,84.7418874692,半导体,2026-08-29,1503.1,776.052,1.690007169088653,True
11410,300750,宁德时代,9.51,276916580000.0,54.8003691485,14.4462,43284002000.0,41.98,8.7212,81.993154443679,12.08,13.015213596184,23.9283938867,电池,2026-07-25,2769.17,432.84,1.3685818713127234,False
10853,601138,工业富联,1.2,557860645000.0,54.634987688,22.1861,23740458000.0,95.99,24.0753,8.85670339565,13.36,0.372476755298,7.1506831245,消费电子,2026-08-12,5578.61,237.405,0.31039729608166666,False
8586,600030,中信证券,1.53,49691932907.1,50.0035284024,14.6048,23343231403.68,69.6,28.4939,19.936802095791,7.81,7.126579745139,,证券Ⅱ,2026-08-21,496.92,233.432,4.657895258260784,False
9350,603993,洛阳钼业,0.76,135319885598.22,42.7839090612,3.7852,16152187485.37,86.27,8.1453,4.191346387888,18.29,0.763459564765,23.0090744347,工业金属,2026-08-20,1353.2,161.522,1.0045520589013157,False
7823,300308,中际旭创,12.31,41777861795.03,182.4913813287,14.285,13651149693.27,241.7,38.0529,35.740605779103,37.62,1.613718553798,46.2521843492,通信设备,2026-08-22,417.78,136.511,0.13109005311112917,False
522,601688,华泰证券,1.25,23657992725.6,45.8621225486,27.0064,11691538976.32,54.87,43.5485,19.812506382237,6.3,8.733072702531,,证券Ⅱ,2026-08-29,236.58,116.915,6.9864581620248005,False
1058,000776,广发证券,1.43,26882915365.65,74.59,30.1229,11651737395.81,80.1,47.5171,17.654987323146,8.08,3.841959216773,,证券Ⅱ,2026-08-29,268.83,116.517,2.686684766974126,False
4989,600999,招商证券,1.19,21901578682.9,108.1873700207,114.0818,10624328413.44,104.87,124.8469,14.463841227679,8.22,7.32909147019,,证券Ⅱ,2026-08-26,219.02,106.243,6.158900395117647,False
10945,301308,江波龙,25.2,24088363284.95,136.2610583659,43.1025,10576875808.95,71528.66,73.8537,43.924176013626,79.03,-7.449114578338,58.9022844185,半导体,2026-08-11,240.88,105.769,-0.2955997848546826,True
505,601995,中金公司,1.62,19302467972.0,50.4712970942,18.7189,8199268268.0,89.35,29.1934,21.598177619083,7.6,13.184060553912,,证券Ⅱ,2026-08-29,193.02,81.993,8.138308983896296,False
7845,300059,东方财富,0.5102,10505339283.68,53.22,8.811,8064281453.11,44.85,15.7506,6.219501510299,8.46,1.91590225336,74.3927594104,证券Ⅱ,2026-08-22,105.05,80.643,3.7551984581732656,False
9719,601066,中信建投,0.92,16228807704.41,51.1077143242,10.8851,7639129546.85,69.44,8.2979,11.28992529276,8.27,7.842420803745,,证券Ⅱ,2026-08-19,162.29,76.391,8.52437043885326,False
6806,300502,新易盛,5.41,20909746962.2,100.3392340098,50.7795,7529168039.39,90.98,70.8117,17.426323180302,34.86,1.15933353069,48.4397325072,通信设备,2026-08-25,209.1,75.292,0.21429455280776338,False
6369,688525,佰维存储,15.28,15574943371.35,298.0982138029,28.5642,7165580281.51,3273.4822888579,47.1764,26.932081103228,78.69,-13.277384824639,54.8116105058,半导体,2026-08-25,155.75,71.656,-0.8689387974240184,True
211,601872,招商轮船,0.86,19651214045.35,56.1524780529,29.6772,6959500459.03,227.57,51.8443,5.800660488392,15.61,1.006940531526,44.9779229906,航运港口,2026-08-31,196.51,69.595,1.1708610831697674,False
9708,603986,兆易创新,9.83,11565760432.15,178.6722977786,76.1593,6856786413.68,1091.5,269.2417,53.129211296108,23.13,8.618944799796,63.1304509177,半导体,2026-08-19,115.66,68.568,0.876800081362767,True
5500,000792,盐湖股份,1.1657,13052166200.79,79.8792665747,2.9269,6168537120.45,137.88,3.8061,9.024047558595,13.34,1.187208691905,71.3850667913,农化制品,2026-08-26,130.52,61.685,1.0184513098610277,False
2133,001309,德明利,26.76,16910558920.73,311.5455913213,24.3268,6017114995.48,5201.6,-20.1799,43.103320797086,95.11,-29.692284424241,47.1244497902,半导体,2026-08-28,169.11,60.171,-1.109577145898393,True
6381,688331,荣昌生物,8.32,5853293736.77,433.1094682648,691.9788,4662283356.3,1137.0570147088,1221.3971,14.728798502455,78.38,7.464997392075,95.7129613996,生物制品,2026-08-25,58.53,46.623,0.8972352634705529,True
968,002460,赣锋锂业,2.04,23096945425.05,175.7483215518,51.1586,4257164842.1,901.36,31.7108,22.987955183115,9.09,0.63349527922,31.5088634155,能源金属,2026-08-29,230.97,42.572,0.3105369015784314,False
2072,002466,天齐锂业,2.51,12242243203.99,153.3219939466,38.7311,4242020000.77,4925.46,26.1171,28.203674636205,9.24,1.291176455321,64.3882879099,能源金属,2026-08-28,122.42,42.42,0.5144129304067729,True
1938,300475,香农芯创,7.82,60204416155.57,251.5961898232,53.3369,3641509573.03,2207.2,74.3308,15.204558556385,68.13,12.206199305758,11.6079405586,其他电子Ⅱ,2026-08-28,602.04,36.415,1.5608950518872122,True
6471,603268,松发股份,3.72,23504457854.74,251.874251691,64.4416,3608650181.02,457.67,130.0203,13.453155403237,32.06,8.765251921756,23.6588177372,航海装备Ⅱ,2026-08-25,235.04,36.087,2.3562505166010754,False
9471,300014,亿纬锂能,1.57,45691465298.91,62.2015350628,20.9466,3301230562.92,105.66,28.2529,23.083164040306,7.24,-0.178494119176,14.3107269459,电池,2026-08-20,456.91,33.012,-0.11369052176815286,False
10397,600183,生益科技,1.36,19025611766.13,50.0454791459,33.6881,3286977278.33,130.42,83.8154,7.616649944865,18.17,1.228101686219,30.6922750301,元件,2026-08-15,190.26,32.87,0.9030159457492646,False
5501,000783,长江证券,0.56,7426077648.44,58.6,20.5386,3192493416.16,83.8,14.7999,6.673298864165,8.39,5.155528456767,,证券Ⅱ,2026-08-26,74.26,31.925,9.206300815655355,False
2179,000630,铜陵有色,0.22,121770119524.73,59.9535182188,-11.7907,2992592611.05,107.93,23.5857,2.83844431421,7.93,0.004056087011,9.2840039246,工业金属,2026-08-28,1217.7,29.926,0.01843675914090909,False
7890,002384,东山精密,1.62,27797683972.88,63.9481879305,11.5882,2956898811.04,290.09,66.413,13.303496414908,12.88,1.301527338391,20.1513507952,元件,2026-08-22,277.98,29.569,0.803411937278395,False
7693,601869,长飞光纤,3.56,9808962180.0,53.637732146,65.4399,2924540887.0,888.88,390.6592,19.765986121926,19.22,2.205710646491,53.3612070059,通信设备,2026-08-22,98.09,29.245,0.6195816422727528,False
5426,002463,沪电股份,1.5191,13689427504.0,61.1682833526,20.2942,2923361746.0,73.72,35.3599,9.348128834869,17.38,0.597956762782,38.7155693432,元件,2026-08-26,136.89,29.234,0.39362567492725964,False
9452,301358,湖南裕能,3.62,34877330172.01,142.915947481,33.0524,2909817706.47,853.51,14.5792,24.034836368716,17.39,-2.079666752094,14.8604117606,电池,2026-08-20,348.77,29.098,-0.5744935779265193,False
8712,002709,天赐材料,1.41,14709500811.92,109.2767908568,20.4174,2860942286.52,967.91,-27.0712,9.949974480802,15.0,0.194859968392,33.5497255866,电池,2026-08-21,147.1,28.609,0.13819855914326243,False
2822,605117,德业股份,2.14,10641096664.31,92.2349063882,38.6197,2717499513.52,78.53,28.7661,9.020957548721,24.31,3.294748721488,37.6464869312,光伏设备,2026-08-27,106.41,27.175,1.5396022063028036,False
11040,688256,寒武纪,3.68,5995573619.61,108.1331369113,7.8407,2310912080.33,122.61,28.0775,21.574993789911,18.05,0.495492800048,55.2505731603,半导体,2026-08-08,59.96,23.109,0.13464478262173912,False
