序号,code,name,eps,revenue,rev_yoy,营业总收入-季度环比增长,profit,profit_yoy,净利润-季度环比增长,bps,roe,ocf_ps,gross_margin,industry,ann_date,rev_yi,profit_yi,cash_ratio,小基数,信号分,命中词,文件数,kf_pct,kf_yi,np_yi,period_used,扣非占比,判定
3112,301717,超纯应材,1.49,306202649.8,48.4084715048,8.3043,114112055.71,85.46,-17.163,12.69393089145,12.51,2.053212035827,57.533010036,半导体,2026-08-27,3.06,1.141,1.3779946549174495,False,11,订单饱满、超预期、需求旺盛,3,35.22,1.13,1.14,2026-06-30,0.991,⚠️扣非不达标
6400,688097,博众精工,0.576,3235850808.33,72.4409879708,18.5392,257230511.82,58.18,703.2293,11.368520721849,5.22,-1.320982607671,29.1565339669,自动化设备,2026-08-25,32.36,2.572,-2.293372582762153,False,12,在手订单、量价齐升、需求旺盛,2,27.92,0.978741,2.57,2026-06-30,0.381,⚠️扣非不达标
145,688456,有研粉材,0.53,2620505234.94,46.3870539782,7.1343,55352043.68,54.79,-17.2694,12.381059007235,4.3,-1.768407279761,7.2382593128,金属新材料,2026-08-31,26.21,0.554,-3.336617508983019,False,4,订单饱满,1,26.6,0.366579,0.55352,2026-06-30,0.662,⚠️扣非不达标
4900,603507,振江股份,0.63,2863416587.81,56.1044285842,-7.6469,149833033.71,854.75,-45.6326,14.194432097353,5.81,1.989188649916,19.6936939749,风电设备,2026-08-26,28.63,1.498,3.1574423014539685,False,5,供不应求,1,24.86,0.970059,1.5,2026-06-30,0.647,⚠️扣非不达标
1485,688307,中润光学,0.26,404185382.49,61.8494531292,14.7443,31820026.08,54.73,13.5629,7.349965404366,3.46,0.24830236427,32.1082570727,光学光电子,2026-08-28,4.04,0.318,0.9550090933461538,False,7,产品涨价、产能爬坡,2,20.23,0.21660100000000002,0.3182,2026-06-30,0.681,⚠️扣非不达标
11208,600206,有研新材,0.217,6157898140.55,50.3538965052,8.2547,183333652.78,40.89,7.694,5.150066584133,4.22,-1.122674257574,7.4200648174,半导体,2026-08-05,61.58,1.833,-5.173614090202765,False,8,供给偏紧、供需偏紧,1,16.98,1.43,1.83,2026-06-30,0.781,⚠️扣非不达标
164,688048,长光华芯,0.1721,391023878.55,82.6664389648,100.9526,30337848.85,238.04,477.2394,17.248734693714,1.0,-0.891184230074,25.0984406154,半导体,2026-08-31,3.91,0.303,-5.178293027739686,False,20,产能利用率、供给偏紧、供需偏紧、在手订单、需求旺盛,2,9.34,-0.103844,0.30337800000000004,2026-06-30,-0.342,⚠️扣非不达标
7858,002925,盈趣科技,0.45,2551669481.0,40.2068423328,24.3287,338067892.19,145.09,162.5141,6.779376932225,6.49,0.170015138173,28.4697783267,消费电子,2026-08-22,25.52,3.381,0.3778114181622222,False,4,满产,1,6.7,1.38,3.38,2026-06-30,0.408,⚠️扣非不达标
9326,688378,奥来德,0.69,461165167.69,64.1447568998,-3.8503,175808330.99,551.02,19.5202,8.032883736892,8.9,0.600595690513,56.2948063164,光学光电子,2026-08-20,4.61,1.758,0.8704285369753624,False,3,产能爬坡,1,2514.25,1.11,1.76,2026-06-30,0.631,⚠️非经常性占比高
6376,688388,嘉元科技,0.58,7512521790.22,89.5704663514,18.05,382242898.85,940.0,117.1749,12.651837854722,4.94,0.247895334428,6.2924354156,电池,2026-08-25,75.13,3.822,0.4274057490137931,False,17,供不应求、超预期、需求旺盛、高景气,3,1652.99,1.82,3.82,2026-06-30,0.476,⚠️非经常性占比高
