序号,name,chg,总成交量,amount,net_in,up_n,down_n,均价,leader,领涨股-最新价,leader_chg,chg5,chg10,chg20,up_ratio
38,元件,1.42,2394.54,1355.87,6.95,46,17,56.62,一博科技,74.42,12.04,5.6,20.84,19.14,73.0
82,种植业与林业,0.01,2060.93,160.19,-0.66,13,17,7.77,敦煌种业,10.23,4.92,-3.53,-2.13,14.21,43.3
77,影视院线,0.43,803.97,56.59,-0.66,11,7,7.04,上海电影,24.51,5.51,-0.7,0.1,11.36,61.1
19,互联网电商,1.95,682.94,73.8,-1.49,13,6,10.81,星徽股份,11.61,17.39,5.34,2.25,9.36,68.4
10,通信设备,2.35,2649.39,1907.75,36.39,79,12,72.01,浩瀚深度,23.02,20.02,4.24,7.59,7.97,86.8
83,教育,-0.05,357.29,23.12,-1.63,5,10,6.47,*ST高科,9.11,9.89,-0.03,-0.37,7.25,33.3
75,黑色家电,0.48,161.14,17.28,-0.08,7,2,10.73,高斯贝尔,15.3,1.46,1.22,1.22,7.12,77.8
64,文化传媒,0.93,2337.98,270.35,-9.95,46,35,11.56,内蒙新华,13.48,10.04,1.13,-0.58,6.87,56.8
40,军工装备,1.36,1232.87,326.39,7.02,65,15,26.47,*ST航图,9.3,7.51,-2.61,-1.13,5.97,81.2
73,橡胶制品,0.57,286.76,51.39,-1.32,14,8,17.92,震安科技,21.72,7.0,2.76,1.86,5.8,63.6
49,风电设备,1.2,1092.93,148.82,-5.65,23,9,13.62,洛轴股份,32.11,12.75,6.28,6.78,4.66,71.9
1,半导体,4.31,4092.82,3329.51,218.57,184,4,81.35,托伦斯,142.56,20.0,11.05,8.91,4.54,97.9
2,其他电子,3.07,708.29,203.86,14.11,34,0,28.78,民德电子,31.72,10.99,6.12,6.03,4.49,100.0
30,零售,1.67,2115.78,130.98,2.61,54,9,6.19,国芳集团,16.06,10.0,-2.06,-3.05,4.39,85.7
50,电力,1.16,4565.59,333.3,9.79,87,16,7.3,大连热电,8.42,10.06,-0.8,1.8,4.35,84.5
79,农产品加工,0.37,1059.5,100.64,1.06,22,18,9.5,金健米业,14.32,9.98,-3.23,-4.08,4.18,55.0
57,保险,1.08,227.78,66.93,-2.04,5,0,29.39,中国人寿,37.8,1.75,-1.24,-5.03,4.12,100.0
6,电子化学品,2.61,1192.33,498.28,19.31,39,4,41.79,广钢气体,32.9,8.4,9.87,10.77,4.02,90.7
52,造纸,1.13,585.29,30.68,1.26,16,6,5.24,宜宾纸业,17.3,5.23,2.36,1.57,3.72,72.7
26,塑料制品,1.83,1227.9,233.55,-0.4,64,12,19.02,道生天合,15.95,10.0,5.18,2.99,3.6,84.2
59,石油加工贸易,1.03,708.4,58.03,-2.59,18,8,8.19,和顺石油,48.55,9.99,-0.63,-1.93,3.44,69.2
56,白色家电,1.09,485.1,107.69,4.12,32,10,22.2,宏昌科技,45.21,6.1,2.39,0.7,3.42,76.2
